order_id,order_date,order_time,store_id,product_id,brand_name,total_amount
1,10-04-2026,13:14:08,ST1076,113112,NY Bae,1124.99
2,10-04-2026,18:05:37,ST1076,454785,NY Bae,1123.71
3,10-04-2026,13:14:32,ST1076,116663,Minimalist,92.24
4,10-04-2026,21:41:44,ST1076,113912,Juicy Chemistry,863.37
5,10-04-2026,19:17:51,ST1076,319949,The Derma Co,368.86
6,10-04-2026,21:27:21,ST1076,497833,Faces Canada,1218.24
7,10-04-2026,15:06:05,ST1076,181516,Carmesi,361.42
8,10-04-2026,15:38:16,ST1076,150707,Mamaearth,569.88
9,10-04-2026,11:59:24,ST1076,482589,Maybelline,715.63
10,10-04-2026,20:39:56,ST1076,389428,Lakme,474.4
11,10-04-2026,11:02:42,ST1076,402698,Bare Anatomy,328.01
12,10-04-2026,11:54:14,ST1076,505310,GUBB,468.9
13,10-04-2026,20:53:23,ST1076,299295,NY Bae,452.34
14,10-04-2026,20:17:44,ST1076,294081,Foxtale,564.5
15,10-04-2026,18:46:15,ST1076,419360,Lakme,970.35
16,10-04-2026,20:44:35,ST1076,342357,Foxtale,599.59
17,10-04-2026,10:14:52,ST1076,458935,GUBB,519.53
18,10-04-2026,14:04:13,ST1076,522075,Maybelline,506.72
19,10-04-2026,13:41:31,ST1076,559469,Aqualogica,1090.69
20,10-04-2026,17:09:16,ST1076,563828,Mamaearth,1376.01
21,10-04-2026,18:16:47,ST1076,229303,Good Vibes,1129.98
22,10-04-2026,16:23:14,ST1076,324622,Aqualogica,1351.74
23,10-04-2026,10:55:07,ST1076,367138,Good Vibes,765.09
24,10-04-2026,20:27:38,ST1076,428962,Good Vibes,281.13
25,10-04-2026,17:33:16,ST1076,301728,Lakme,602.73
26,10-04-2026,20:46:07,ST1076,551296,The Derma Co,1416.47
27,10-04-2026,20:21:07,ST1076,493676,The Derma Co,436.16
28,10-04-2026,10:46:56,ST1076,327942,COSRX,278.49
29,10-04-2026,18:58:06,ST1076,362451,Carmesi,1154.61
30,10-04-2026,19:12:09,ST1076,541277,COSRX,976.12
31,10-04-2026,18:58:00,ST1076,499775,Bare Anatomy,283.41
32,10-04-2026,11:59:23,ST1076,269951,Juicy Chemistry,757.97
33,10-04-2026,19:05:05,ST1076,225541,COSRX,133.05
34,10-04-2026,18:49:08,ST1076,527831,Dot & Key,149.43
35,10-04-2026,18:10:16,ST1076,445899,Good Vibes,738.63
36,10-04-2026,13:59:34,ST1076,557406,Plum,929.17
37,10-04-2026,20:41:23,ST1076,473790,DERMDOC,501.3
38,10-04-2026,11:15:14,ST1076,571656,Cetaphil,800.0
39,10-04-2026,18:14:37,ST1076,277254,Lakme,79.52
40,10-04-2026,20:03:14,ST1076,103770,GUBB,152.01
41,10-04-2026,15:04:32,ST1076,574700,Lakme,94.58
42,10-04-2026,13:34:08,ST1076,246002,GUBB,1019.69
43,10-04-2026,17:51:26,ST1076,402100,Aqualogica,734.85
44,10-04-2026,16:22:27,ST1076,149453,DERMDOC,189.65
45,10-04-2026,10:43:41,ST1076,344855,Minimalist,1302.43
46,10-04-2026,15:51:55,ST1076,131778,NY Bae,633.2
47,10-04-2026,18:28:08,ST1076,230367,NY Bae,327.0
48,10-04-2026,13:55:59,ST1076,196200,Minimalist,453.17
49,10-04-2026,18:06:03,ST1076,332328,Lakme,1221.44
50,10-04-2026,11:59:48,ST1076,538319,The Derma Co,70.41
51,10-04-2026,17:13:55,ST1076,187194,GUBB,638.71
52,10-04-2026,16:00:24,ST1076,573139,Mamaearth,134.08
53,10-04-2026,17:18:27,ST1076,585762,Carmesi,1186.69
54,10-04-2026,12:12:18,ST1076,447011,The Derma Co,1091.41
55,10-04-2026,18:03:47,ST1076,130662,DERMDOC,889.39
56,10-04-2026,17:32:58,ST1076,129971,Swiss Beauty,121.76
